GDP and main components (output, expenditure and income) [nama_10_gdp];;;;;;;;;;
;;;;;;;;;;
Last update;30.11.18;;;;;;;;;
Extracted on;02.12.18;;;;;;;;;
Source of data;Eurostat;;;;;;;;;
;;;;;;;;;;
UNIT;Chain linked volumes, index 2010=100;;;;;;;;;
NA_ITEM;Gross domestic product at market prices;;;;;;;;;
;;;;;;;;;;
GEO/TIME;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Germany (until 1990 former territory of the FRG);2.561.740,00;2.460.280,00;2.580.060,00;2.703.120,00;2.758.260,00;2.826.240,00;2.938.590,00;3.048.860,00;3.159.750,00;3.277.340,00
Estonia;16.517,30;14.145,90;14.716,50;16.667,60;17.934,90;18.932,30;20.061,20;20.652,00;21.682,60;23.615,10
Ireland;187.769,10;170.100,50;167.721,20;171.140,20;175.216,20;179.922,40;195.292,80;262.466,20;273.238,20;294.110,10
Greece;241.990,40;237.534,20;226.031,40;207.028,90;191.203,90;180.654,30;178.656,50;177.258,40;176.487,90;180.217,60
Spain;1.116.225,00;1.079.052,00;1.080.935,00;1.070.449,00;1.039.815,00;1.025.693,00;1.037.820,00;1.081.165,00;1.118.743,00;1.166.319,00
France;1.992.380,00;1.936.422,00;1.995.289,00;2.058.369,00;2.088.804,00;2.117.189,00;2.149.765,00;2.198.432,00;2.228.568,00;2.291.705,00
Croatia;48.138,80;45.145,40;45.155,50;44.825,50;43.982,70;43.779,20;43.431,00;44.605,90;46.639,50;48.989,50
Italy;1.632.150,80;1.572.878,30;1.604.514,50;1.637.462,90;1.613.265,00;1.604.599,10;1.621.827,20;1.652.085,40;1.689.747,60;1.724.954,50
Cyprus;19.006,20;18.673,50;19.299,50;19.731,00;19.489,70;18.140,50;17.610,00;17.746,00;18.490,20;19.570,90
Latvia;24.354,80;18.749,30;17.788,60;20.202,30;22.058,40;22.828,90;23.618,20;24.320,30;25.037,70;27.033,10
Lithuania;32.696,30;26.934,80;28.027,70;31.275,30;33.348,50;34.959,60;36.568,30;37.433,90;38.849,40;42.190,80
Luxembourg;38.128,60;36.976,50;40.177,80;43.164,60;44.112,10;46.499,60;49.824,50;51.578,90;53.303,00;55.299,40
Hungary;108.121,50;94.262,50;98.826,00;101.317,00;99.502,40;101.890,50;105.547,00;110.898,70;113.903,80;124.050,30
Malta;6.128,70;6.138,60;6.599,50;6.840,00;7.168,00;7.641,70;8.467,50;9.524,60;10.180,10;11.139,70
Netherlands;647.198,00;624.842,00;639.187,00;650.359,00;652.966,00;660.463,00;671.560,00;690.008,00;708.337,00;737.048,00
Austria;293.761,90;288.044,00;295.896,60;310.128,70;318.653,00;323.910,20;333.146,10;344.258,50;356.237,60;369.899,20
Poland;366.182,30;317.082,90;361.803,90;380.241,70;389.376,80;394.733,80;411.163,20;430.254,50;426.547,50;467.167,00
Portugal;178.872,60;175.448,20;179.929,80;176.166,60;168.398,00;170.269,30;173.079,10;179.809,10;186.480,50;194.613,50
Romania;146.106,00;124.141,00;125.408,80;131.925,40;133.147,10;143.801,60;150.458,00;160.297,80;170.393,60;187.939,90
Slovenia;37.951,20;36.166,20;36.252,40;36.896,30;36.076,10;36.239,20;37.603,30;38.863,30;40.357,20;42.999,70
Slovakia;66.002,80;64.023,10;67.577,30;70.627,20;72.703,50;74.169,90;76.087,80;79.138,20;81.226,10;84.850,90
Finland;193.711,00;181.029,00;187.100,00;196.869,00;199.793,00;203.338,00;205.474,00;209.604,00;216.111,00;223.843,00
Sweden;352.741,60;310.008,30;369.478,20;405.440,10;423.808,40;436.217,90;433.140,10;449.194,70;463.147,50;475.224,20
United Kingdom;1.983.970,50;1.725.383,30;1.850.538,60;1.894.900,20;2.089.628,40;2.073.978,50;2.287.866,60;2.611.924,10;2.403.382,60;2.332.087,30
Iceland;10.948,50;9.426,40;10.332,40;10.889,00;11.458,50;12.064,10;13.389,90;15.639,20;18.734,40;21.695,90
Liechtenstein;:;:;:;:;:;4.812,40;5.021,70;5.668,80;5.631,10;:
Norway;317.230,30;278.557,90;324.043,20;358.733,70;397.086,10;393.966,10;376.647,60;348.408,40;335.747,50;354.287,40
Switzerland;378.248,10;390.207,40;441.085,70;504.020,90;519.716,40;518.379,50;534.923,70;612.658,40;605.753,70;601.395,70
Montenegro;3.103,30;2.993,90;3.125,10;3.264,80;3.181,50;3.362,50;3.457,90;3.654,50;3.954,20;4.299,10
Former Yugoslav Republic of Macedonia, the;6.772,10;6.766,50;7.108,30;7.544,20;7.584,80;8.149,60;8.562,00;9.072,30;9.722,80;10.065,60
